Trabajo,Oferta,Numero_Ofertas,Rango_Presupuesto,Ubicacion,Habilidades
Convert AI to HTML,35,9,10-30,"Petaling Jaya, Malaysia",CSSHTMLHTML5Website DesignPSD to HTML
Build an Online Web Portfolio - Github.io / Webflow,157,9,30-250,"Heidelberg West, Australia",Website DesignGraphic DesignPHPCSSGitHub
SSL Help on Bootstrap Website,25,16,10-30,"Hampton, United States",HTMLWebsite DesignBootstrapCSSOpenSSL
Good English Speaking,29,3,25-35,Russian Federation,Website DesignHTMLCSSGraphic DesignJavaScript
Senior Wordpress Engineer/Designer Needed,13,7,8-15,"Singapore, Singapore",WordPressPHPCSSHTMLjQuery / Prototype
need fix WordPress web site,57,5,30-60,"Warsaw, Poland",WordPressPHPHTMLWebsite DesignCSS
Website Conversion - Wix to Wordpress and SEO Fixes / Audit Implimentation -- 3,350,15,250-750,"Auckland, New Zealand",JavaScriptWebsite DesignWordPressCSSHTML5
"Wordpress, PHP, HTML",36,3,8-30,"Doesburg, Netherlands",PHPWordPressHTMLCSSWebsite Design
Urgent Wordpress plugin customization required,169,13,30-250,"Dubai, United Arab Emirates",WordPressPHPCSSHTMLPlugin
Wordpress   -- 2,6,9,2-8,"La'ie, United States",PHPWebsite DesignWordPressCSSHTML
I need a professional SEO friendly online store built with Wordpress,1459,30,1500-3000,"Perth, Australia",SEOCSSPHPWebsite DesignWebsite Build
Fronted Developer Gatsby.js for a wordpress based backend,521,18,250-750,"Milano, Italy",JavaCSSHTMLWordPressRelational Databases
Thingsboard Widget Developer,27,59,25-50,"Bardon, Australia",JavaScriptCSSHTMLPHPjQuery / Prototype
Script for RedM,216,2,30-250,"nærum, Iceland",CSSHTMLLua
Fix Angular 8 tooltip development,22,2,10-30,"Băilești, Romania",AngularJSJavaScriptHTML5CSSHTML
"Web designer / Developer . Weekly : 20 hours a week : CSS, html, Bootstrap,JavaScript",152,41,150-250,"Montreal, Canada",BootstrapCSSPSD to HTMLJavaScriptWebsite Design
Build Me a Website,159,44,30-250,"Tysons Corner, United States",Website DesignHTMLPHPGraphic DesignCSS
Angular 8 tooltip development,23,3,10-30,"Tokyo, Japan",AngularJSHTML5JavaScriptCSSjQuery / Prototype
Bootstrap 4 dropdown children should not be active,25,9,10-30,"Malmo, Sweden",BootstrapCSSHTMLJavaScriptHTML5
